,vintage,nr_tokens,name,volume_ml,lot_size,seal code,description,description_missing,multplier,full_description,src_image,dst_image
24,2004,1,Vin de Constance 2004,500,3,,"Iconic dessert wine from unbotrytised Muscat de Frontignan, No 2003; '04 charming peach and spicy-nutty cream. Less intense than some years, but still luscious and dense. 130 g/l RS, 14.2% alc in full, rich finish.' - Platter's SA Wine Guide 2009, 4.5*",0,,"Iconic dessert wine from unbotrytised Muscat de Frontignan, No 2003; '04 charming peach and spicy-nutty cream. Less intense than some years, but still luscious and dense. 130 g/l RS, 14.2% alc in full, rich finish.' - Platter's SA Wine Guide 2009, 4.5*",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2004 5000 - 0040582.jpg,farms/klein-constansia/vdc/output/assets/24.jpg
25,2004,1,Vin de Constance 2004,500,3,,"Iconic dessert wine from unbotrytised Muscat de Frontignan, No 2003; '04 charming peach and spicy-nutty cream. Less intense than some years, but still luscious and dense. 130 g/l RS, 14.2% alc in full, rich finish.' - Platter's SA Wine Guide 2009, 4.5*",0,,"Iconic dessert wine from unbotrytised Muscat de Frontignan, No 2003; '04 charming peach and spicy-nutty cream. Less intense than some years, but still luscious and dense. 130 g/l RS, 14.2% alc in full, rich finish.' - Platter's SA Wine Guide 2009, 4.5*",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2004 5000 - 0040582.jpg,farms/klein-constansia/vdc/output/assets/25.jpg
26,2005,1,Vin de Constance 2005,500,3,,"‘Pure orange peel, tangerine, persimmon and clementine flavors are laced with hints of green tea, candied lime peel and honeysuckle. Rich, but racy and mouthwatering. The gorgeous amber color and a caressing mouthfeel just add to the pleasure. Lovely precision. Should age nicely. Drink now through 2023.’ - James Molesworth, Winespectator.com, 94/100 (2010)
‘Iconic dessert from unbotrytised Muscat de Frontignan. '05 sleek, gleaming acidity in different, finer balance to previous (160 g/l RS; 12.2% alc). Lovely floral depth, precise long-lingering finish. These reward 5-10+ years in cellar with more complexity. ± 3 years in combo steel, oak.’ - Platter’s SA Wine Guide 2009, 4.5*",0,,"‘Pure orange peel, tangerine, persimmon and clementine flavors are laced with hints of green tea, candied lime peel and honeysuckle. Rich, but racy and mouthwatering. The gorgeous amber color and a caressing mouthfeel just add to the pleasure. Lovely precision. Should age nicely. Drink now through 2023.’ - James Molesworth, Winespectator.com, 94/100 (2010)
‘Iconic dessert from unbotrytised Muscat de Frontignan. '05 sleek, gleaming acidity in different, finer balance to previous (160 g/l RS; 12.2% alc). Lovely floral depth, precise long-lingering finish. These reward 5-10+ years in cellar with more complexity. ± 3 years in combo steel, oak.’ - Platter’s SA Wine Guide 2009, 4.5*",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2005 5650 - 752121.jpg,farms/klein-constansia/vdc/output/assets/26.jpg
27,2005,1,Vin de Constance 2005,500,3,,"‘Pure orange peel, tangerine, persimmon and clementine flavors are laced with hints of green tea, candied lime peel and honeysuckle. Rich, but racy and mouthwatering. The gorgeous amber color and a caressing mouthfeel just add to the pleasure. Lovely precision. Should age nicely. Drink now through 2023.’ - James Molesworth, Winespectator.com, 94/100 (2010)
‘Iconic dessert from unbotrytised Muscat de Frontignan. '05 sleek, gleaming acidity in different, finer balance to previous (160 g/l RS; 12.2% alc). Lovely floral depth, precise long-lingering finish. These reward 5-10+ years in cellar with more complexity. ± 3 years in combo steel, oak.’ - Platter’s SA Wine Guide 2009, 4.5*",0,,"‘Pure orange peel, tangerine, persimmon and clementine flavors are laced with hints of green tea, candied lime peel and honeysuckle. Rich, but racy and mouthwatering. The gorgeous amber color and a caressing mouthfeel just add to the pleasure. Lovely precision. Should age nicely. Drink now through 2023.’ - James Molesworth, Winespectator.com, 94/100 (2010)
‘Iconic dessert from unbotrytised Muscat de Frontignan. '05 sleek, gleaming acidity in different, finer balance to previous (160 g/l RS; 12.2% alc). Lovely floral depth, precise long-lingering finish. These reward 5-10+ years in cellar with more complexity. ± 3 years in combo steel, oak.’ - Platter’s SA Wine Guide 2009, 4.5*",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2005 5650 - 752121.jpg,farms/klein-constansia/vdc/output/assets/27.jpg
28,2005,1,Vin de Constance 2005,500,3,,"‘Pure orange peel, tangerine, persimmon and clementine flavors are laced with hints of green tea, candied lime peel and honeysuckle. Rich, but racy and mouthwatering. The gorgeous amber color and a caressing mouthfeel just add to the pleasure. Lovely precision. Should age nicely. Drink now through 2023.’ - James Molesworth, Winespectator.com, 94/100 (2010)
‘Iconic dessert from unbotrytised Muscat de Frontignan. '05 sleek, gleaming acidity in different, finer balance to previous (160 g/l RS; 12.2% alc). Lovely floral depth, precise long-lingering finish. These reward 5-10+ years in cellar with more complexity. ± 3 years in combo steel, oak.’ - Platter’s SA Wine Guide 2009, 4.5*",0,,"‘Pure orange peel, tangerine, persimmon and clementine flavors are laced with hints of green tea, candied lime peel and honeysuckle. Rich, but racy and mouthwatering. The gorgeous amber color and a caressing mouthfeel just add to the pleasure. Lovely precision. Should age nicely. Drink now through 2023.’ - James Molesworth, Winespectator.com, 94/100 (2010)
‘Iconic dessert from unbotrytised Muscat de Frontignan. '05 sleek, gleaming acidity in different, finer balance to previous (160 g/l RS; 12.2% alc). Lovely floral depth, precise long-lingering finish. These reward 5-10+ years in cellar with more complexity. ± 3 years in combo steel, oak.’ - Platter’s SA Wine Guide 2009, 4.5*",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2005 5650 - 752121.jpg,farms/klein-constansia/vdc/output/assets/28.jpg
29,2006,1,Vin de Constance 2006,500,3,,"‘This is gorgeous from the start, proffering sweet but precise tangerine, nectarine and clementine fruit flavors laced with date, orange blossom and green tea notes. Long and pure through the finish, with a lingering echo of bitter orange. The track record for this wine keeps getting better. Drink now through 2020.’ - James Molesworth, Wine Spectator, 95/100 (2012)
'Previewed last year, 2006 iconic dessert wine from unbotrytised Muscat de Fontignan. 42 months oak (500L barrels, 20% new) melts into concentration of sweet mango, kumquat and glacé pineapple. Uncloyingly rich, courtesy tangy acidity. Stately successor to sleek and floral 2005 (4.5 stars).’ - Platter’s SA Wine Guide 2011, 5* ",0,,"‘This is gorgeous from the start, proffering sweet but precise tangerine, nectarine and clementine fruit flavors laced with date, orange blossom and green tea notes. Long and pure through the finish, with a lingering echo of bitter orange. The track record for this wine keeps getting better. Drink now through 2020.’ - James Molesworth, Wine Spectator, 95/100 (2012)
'Previewed last year, 2006 iconic dessert wine from unbotrytised Muscat de Fontignan. 42 months oak (500L barrels, 20% new) melts into concentration of sweet mango, kumquat and glacé pineapple. Uncloyingly rich, courtesy tangy acidity. Stately successor to sleek and floral 2005 (4.5 stars).’ - Platter’s SA Wine Guide 2011, 5* ",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2006 5857 - 465052.jpg,farms/klein-constansia/vdc/output/assets/29.jpg
30,2006,1,Vin de Constance 2006,500,3,,"‘This is gorgeous from the start, proffering sweet but precise tangerine, nectarine and clementine fruit flavors laced with date, orange blossom and green tea notes. Long and pure through the finish, with a lingering echo of bitter orange. The track record for this wine keeps getting better. Drink now through 2020.’ - James Molesworth, Wine Spectator, 95/100 (2012)
'Previewed last year, 2006 iconic dessert wine from unbotrytised Muscat de Fontignan. 42 months oak (500L barrels, 20% new) melts into concentration of sweet mango, kumquat and glacé pineapple. Uncloyingly rich, courtesy tangy acidity. Stately successor to sleek and floral 2005 (4.5 stars).’ - Platter’s SA Wine Guide 2011, 5* ",0,,"‘This is gorgeous from the start, proffering sweet but precise tangerine, nectarine and clementine fruit flavors laced with date, orange blossom and green tea notes. Long and pure through the finish, with a lingering echo of bitter orange. The track record for this wine keeps getting better. Drink now through 2020.’ - James Molesworth, Wine Spectator, 95/100 (2012)
'Previewed last year, 2006 iconic dessert wine from unbotrytised Muscat de Fontignan. 42 months oak (500L barrels, 20% new) melts into concentration of sweet mango, kumquat and glacé pineapple. Uncloyingly rich, courtesy tangy acidity. Stately successor to sleek and floral 2005 (4.5 stars).’ - Platter’s SA Wine Guide 2011, 5* ",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2006 5857 - 465052.jpg,farms/klein-constansia/vdc/output/assets/30.jpg
31,2006,1,Vin de Constance 2006,500,3,,"‘This is gorgeous from the start, proffering sweet but precise tangerine, nectarine and clementine fruit flavors laced with date, orange blossom and green tea notes. Long and pure through the finish, with a lingering echo of bitter orange. The track record for this wine keeps getting better. Drink now through 2020.’ - James Molesworth, Wine Spectator, 95/100 (2012)
'Previewed last year, 2006 iconic dessert wine from unbotrytised Muscat de Fontignan. 42 months oak (500L barrels, 20% new) melts into concentration of sweet mango, kumquat and glacé pineapple. Uncloyingly rich, courtesy tangy acidity. Stately successor to sleek and floral 2005 (4.5 stars).’ - Platter’s SA Wine Guide 2011, 5* ",0,,"‘This is gorgeous from the start, proffering sweet but precise tangerine, nectarine and clementine fruit flavors laced with date, orange blossom and green tea notes. Long and pure through the finish, with a lingering echo of bitter orange. The track record for this wine keeps getting better. Drink now through 2020.’ - James Molesworth, Wine Spectator, 95/100 (2012)
'Previewed last year, 2006 iconic dessert wine from unbotrytised Muscat de Fontignan. 42 months oak (500L barrels, 20% new) melts into concentration of sweet mango, kumquat and glacé pineapple. Uncloyingly rich, courtesy tangy acidity. Stately successor to sleek and floral 2005 (4.5 stars).’ - Platter’s SA Wine Guide 2011, 5* ",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2006 5857 - 465052.jpg,farms/klein-constansia/vdc/output/assets/31.jpg
32,2007,1,Vin de Constance 2007,500,3,,"Bottled decadence, 2007 is the latest iconic dessert wine from unbotrytised Muscat de Frontignan. New oak (65%) melts into unctuous glacé pineapple and barley sugar flavours. Rich and complex, but lacks the vibrant freshness of exceptional 2006 (5 stars).' - Platter's SA Wine Guide 2013, 4.5* ‘It has an explosive bouquet that sprints out of the blocks with a more effervescent, vivacious personality than the 2008. Citrus lemon, Seville orange marmalade, touches of mandarin and a dash of spice all vie for attention … This is probably the finest Vin de Constance to date as it fans out marvellously on the multi-layered finish. This is a startling, world-class wine that gives Yquem a run for its money.’ Neal Martin, Wine Advocate, 97/100 (2011)",0,,"Bottled decadence, 2007 is the latest iconic dessert wine from unbotrytised Muscat de Frontignan. New oak (65%) melts into unctuous glacé pineapple and barley sugar flavours. Rich and complex, but lacks the vibrant freshness of exceptional 2006 (5 stars).' - Platter's SA Wine Guide 2013, 4.5* ‘It has an explosive bouquet that sprints out of the blocks with a more effervescent, vivacious personality than the 2008. Citrus lemon, Seville orange marmalade, touches of mandarin and a dash of spice all vie for attention … This is probably the finest Vin de Constance to date as it fans out marvellously on the multi-layered finish. This is a startling, world-class wine that gives Yquem a run for its money.’ Neal Martin, Wine Advocate, 97/100 (2011)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2007 6448 - 035933.jpg,farms/klein-constansia/vdc/output/assets/32.jpg
33,2007,1,Vin de Constance 2007,500,3,,"Bottled decadence, 2007 is the latest iconic dessert wine from unbotrytised Muscat de Frontignan. New oak (65%) melts into unctuous glacé pineapple and barley sugar flavours. Rich and complex, but lacks the vibrant freshness of exceptional 2006 (5 stars).' - Platter's SA Wine Guide 2013, 4.5* ‘It has an explosive bouquet that sprints out of the blocks with a more effervescent, vivacious personality than the 2008. Citrus lemon, Seville orange marmalade, touches of mandarin and a dash of spice all vie for attention … This is probably the finest Vin de Constance to date as it fans out marvellously on the multi-layered finish. This is a startling, world-class wine that gives Yquem a run for its money.’ Neal Martin, Wine Advocate, 97/100 (2011)",0,,"Bottled decadence, 2007 is the latest iconic dessert wine from unbotrytised Muscat de Frontignan. New oak (65%) melts into unctuous glacé pineapple and barley sugar flavours. Rich and complex, but lacks the vibrant freshness of exceptional 2006 (5 stars).' - Platter's SA Wine Guide 2013, 4.5* ‘It has an explosive bouquet that sprints out of the blocks with a more effervescent, vivacious personality than the 2008. Citrus lemon, Seville orange marmalade, touches of mandarin and a dash of spice all vie for attention … This is probably the finest Vin de Constance to date as it fans out marvellously on the multi-layered finish. This is a startling, world-class wine that gives Yquem a run for its money.’ Neal Martin, Wine Advocate, 97/100 (2011)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2007 6448 - 035933.jpg,farms/klein-constansia/vdc/output/assets/33.jpg
34,2007,1,Vin de Constance 2007,500,3,,"Bottled decadence, 2007 is the latest iconic dessert wine from unbotrytised Muscat de Frontignan. New oak (65%) melts into unctuous glacé pineapple and barley sugar flavours. Rich and complex, but lacks the vibrant freshness of exceptional 2006 (5 stars).' - Platter's SA Wine Guide 2013, 4.5* ‘It has an explosive bouquet that sprints out of the blocks with a more effervescent, vivacious personality than the 2008. Citrus lemon, Seville orange marmalade, touches of mandarin and a dash of spice all vie for attention … This is probably the finest Vin de Constance to date as it fans out marvellously on the multi-layered finish. This is a startling, world-class wine that gives Yquem a run for its money.’ Neal Martin, Wine Advocate, 97/100 (2011)",0,,"Bottled decadence, 2007 is the latest iconic dessert wine from unbotrytised Muscat de Frontignan. New oak (65%) melts into unctuous glacé pineapple and barley sugar flavours. Rich and complex, but lacks the vibrant freshness of exceptional 2006 (5 stars).' - Platter's SA Wine Guide 2013, 4.5* ‘It has an explosive bouquet that sprints out of the blocks with a more effervescent, vivacious personality than the 2008. Citrus lemon, Seville orange marmalade, touches of mandarin and a dash of spice all vie for attention … This is probably the finest Vin de Constance to date as it fans out marvellously on the multi-layered finish. This is a startling, world-class wine that gives Yquem a run for its money.’ Neal Martin, Wine Advocate, 97/100 (2011)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2007 6448 - 035933.jpg,farms/klein-constansia/vdc/output/assets/34.jpg
35,2008,1,Vin de Constance 2008,500,3,,"'The first wine to be blended by the 'new' team in 2012, further time in bottle has added complexity on the palate. Intensely aromatic with a medium-burnished gold hue and nutty, clove and honeysuckle/jasmine notes on the nose. Acidity is more prominent here but cuts through the richness, with mellow oak and orange-marmalade zest on the finish. A highly impressive Vin de Constance with 150g/l RS which is in great shape for further maturation. Drinking Window 2020 - 2040.’ - Decanter.com, 97/100 (2020)
‘Iconic dessert from unbotrytised Muscat de Frontignan. Rich and satisfying 2008 offers fragrant aromas of candied orange peel, faint scent of fynbos. Warm alcohol asserts on entry, then unctuous flavours of toffee apples and glazed pineapples. 54 months 60% new oak, French and Hungarian.’ - Platter’s SA Wine Guide 2015, 4.5* ",0,,"'The first wine to be blended by the 'new' team in 2012, further time in bottle has added complexity on the palate. Intensely aromatic with a medium-burnished gold hue and nutty, clove and honeysuckle/jasmine notes on the nose. Acidity is more prominent here but cuts through the richness, with mellow oak and orange-marmalade zest on the finish. A highly impressive Vin de Constance with 150g/l RS which is in great shape for further maturation. Drinking Window 2020 - 2040.’ - Decanter.com, 97/100 (2020)
‘Iconic dessert from unbotrytised Muscat de Frontignan. Rich and satisfying 2008 offers fragrant aromas of candied orange peel, faint scent of fynbos. Warm alcohol asserts on entry, then unctuous flavours of toffee apples and glazed pineapples. 54 months 60% new oak, French and Hungarian.’ - Platter’s SA Wine Guide 2015, 4.5* ",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2008 6655 - 846084.jpg,farms/klein-constansia/vdc/output/assets/35.jpg
36,2008,1,Vin de Constance 2008,500,3,,"'The first wine to be blended by the 'new' team in 2012, further time in bottle has added complexity on the palate. Intensely aromatic with a medium-burnished gold hue and nutty, clove and honeysuckle/jasmine notes on the nose. Acidity is more prominent here but cuts through the richness, with mellow oak and orange-marmalade zest on the finish. A highly impressive Vin de Constance with 150g/l RS which is in great shape for further maturation. Drinking Window 2020 - 2040.’ - Decanter.com, 97/100 (2020)
‘Iconic dessert from unbotrytised Muscat de Frontignan. Rich and satisfying 2008 offers fragrant aromas of candied orange peel, faint scent of fynbos. Warm alcohol asserts on entry, then unctuous flavours of toffee apples and glazed pineapples. 54 months 60% new oak, French and Hungarian.’ - Platter’s SA Wine Guide 2015, 4.5* ",0,,"'The first wine to be blended by the 'new' team in 2012, further time in bottle has added complexity on the palate. Intensely aromatic with a medium-burnished gold hue and nutty, clove and honeysuckle/jasmine notes on the nose. Acidity is more prominent here but cuts through the richness, with mellow oak and orange-marmalade zest on the finish. A highly impressive Vin de Constance with 150g/l RS which is in great shape for further maturation. Drinking Window 2020 - 2040.’ - Decanter.com, 97/100 (2020)
‘Iconic dessert from unbotrytised Muscat de Frontignan. Rich and satisfying 2008 offers fragrant aromas of candied orange peel, faint scent of fynbos. Warm alcohol asserts on entry, then unctuous flavours of toffee apples and glazed pineapples. 54 months 60% new oak, French and Hungarian.’ - Platter’s SA Wine Guide 2015, 4.5* ",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2008 6655 - 846084.jpg,farms/klein-constansia/vdc/output/assets/36.jpg
37,2008,1,Vin de Constance 2008,500,3,,"'The first wine to be blended by the 'new' team in 2012, further time in bottle has added complexity on the palate. Intensely aromatic with a medium-burnished gold hue and nutty, clove and honeysuckle/jasmine notes on the nose. Acidity is more prominent here but cuts through the richness, with mellow oak and orange-marmalade zest on the finish. A highly impressive Vin de Constance with 150g/l RS which is in great shape for further maturation. Drinking Window 2020 - 2040.’ - Decanter.com, 97/100 (2020)
‘Iconic dessert from unbotrytised Muscat de Frontignan. Rich and satisfying 2008 offers fragrant aromas of candied orange peel, faint scent of fynbos. Warm alcohol asserts on entry, then unctuous flavours of toffee apples and glazed pineapples. 54 months 60% new oak, French and Hungarian.’ - Platter’s SA Wine Guide 2015, 4.5* ",0,,"'The first wine to be blended by the 'new' team in 2012, further time in bottle has added complexity on the palate. Intensely aromatic with a medium-burnished gold hue and nutty, clove and honeysuckle/jasmine notes on the nose. Acidity is more prominent here but cuts through the richness, with mellow oak and orange-marmalade zest on the finish. A highly impressive Vin de Constance with 150g/l RS which is in great shape for further maturation. Drinking Window 2020 - 2040.’ - Decanter.com, 97/100 (2020)
‘Iconic dessert from unbotrytised Muscat de Frontignan. Rich and satisfying 2008 offers fragrant aromas of candied orange peel, faint scent of fynbos. Warm alcohol asserts on entry, then unctuous flavours of toffee apples and glazed pineapples. 54 months 60% new oak, French and Hungarian.’ - Platter’s SA Wine Guide 2015, 4.5* ",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2008 6655 - 846084.jpg,farms/klein-constansia/vdc/output/assets/37.jpg
38,2009,1,Vin de Constance 2009,500,3,,"‘Rich and unctuous, yet superbly racy, this offers a gorgeous panoply of dried apricot, fig, mango and quince flavors, underscored by a lively blood orange note and backed by a long, ginger- and green tea—filled finish. Youthfully tight, this should cruise for some time in the cellar. Muscat de Frontignan. Best from 2016 through 2030.’ - James Molesworth, Winespectator.com, 95/100 (2015)
‘The 2009 Vin de Constance Natural Sweet Wine had been in bottle around six weeks when I tasted it at the estate. It was harvested over three months from 25 separate batches, each bunch selected by hand and raised for six months to one year in 500-liter barrels. Matthew told me that he is looking for less time in barrel and more time in bottle before release. Then again, the 2003 is still in barrel! This is the first vintage Matthew Day has been involved with from start to finish and he sees it as a cross between the 2007 and 2008. It has an intense marmalade, dried apricot, beeswax and honeycomb scents, your quintessential Vin de Constance nose, and it seems to muster more vigor with aeration. The palate is well-balanced with a spicy tincture on the entry, slightly oxidative, with nutty notes infusing the thickly layered honeyed fruit with touches of papaya and mango toward the finish with touches of rosewater and gripe water (a children's medicine for anyone without the privilege) on the aftertaste. Another superb Vin de Constance from Matthew Day.’ - Neal Martin, Robertparker.com, 94/100 (2014)",0,,"‘Rich and unctuous, yet superbly racy, this offers a gorgeous panoply of dried apricot, fig, mango and quince flavors, underscored by a lively blood orange note and backed by a long, ginger- and green tea—filled finish. Youthfully tight, this should cruise for some time in the cellar. Muscat de Frontignan. Best from 2016 through 2030.’ - James Molesworth, Winespectator.com, 95/100 (2015)
‘The 2009 Vin de Constance Natural Sweet Wine had been in bottle around six weeks when I tasted it at the estate. It was harvested over three months from 25 separate batches, each bunch selected by hand and raised for six months to one year in 500-liter barrels. Matthew told me that he is looking for less time in barrel and more time in bottle before release. Then again, the 2003 is still in barrel! This is the first vintage Matthew Day has been involved with from start to finish and he sees it as a cross between the 2007 and 2008. It has an intense marmalade, dried apricot, beeswax and honeycomb scents, your quintessential Vin de Constance nose, and it seems to muster more vigor with aeration. The palate is well-balanced with a spicy tincture on the entry, slightly oxidative, with nutty notes infusing the thickly layered honeyed fruit with touches of papaya and mango toward the finish with touches of rosewater and gripe water (a children's medicine for anyone without the privilege) on the aftertaste. Another superb Vin de Constance from Matthew Day.’ - Neal Martin, Robertparker.com, 94/100 (2014)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2009 7299 - 733971.jpg,farms/klein-constansia/vdc/output/assets/38.jpg
39,2009,1,Vin de Constance 2009,500,3,,"‘Rich and unctuous, yet superbly racy, this offers a gorgeous panoply of dried apricot, fig, mango and quince flavors, underscored by a lively blood orange note and backed by a long, ginger- and green tea—filled finish. Youthfully tight, this should cruise for some time in the cellar. Muscat de Frontignan. Best from 2016 through 2030.’ - James Molesworth, Winespectator.com, 95/100 (2015)
‘The 2009 Vin de Constance Natural Sweet Wine had been in bottle around six weeks when I tasted it at the estate. It was harvested over three months from 25 separate batches, each bunch selected by hand and raised for six months to one year in 500-liter barrels. Matthew told me that he is looking for less time in barrel and more time in bottle before release. Then again, the 2003 is still in barrel! This is the first vintage Matthew Day has been involved with from start to finish and he sees it as a cross between the 2007 and 2008. It has an intense marmalade, dried apricot, beeswax and honeycomb scents, your quintessential Vin de Constance nose, and it seems to muster more vigor with aeration. The palate is well-balanced with a spicy tincture on the entry, slightly oxidative, with nutty notes infusing the thickly layered honeyed fruit with touches of papaya and mango toward the finish with touches of rosewater and gripe water (a children's medicine for anyone without the privilege) on the aftertaste. Another superb Vin de Constance from Matthew Day.’ - Neal Martin, Robertparker.com, 94/100 (2014)",0,,"‘Rich and unctuous, yet superbly racy, this offers a gorgeous panoply of dried apricot, fig, mango and quince flavors, underscored by a lively blood orange note and backed by a long, ginger- and green tea—filled finish. Youthfully tight, this should cruise for some time in the cellar. Muscat de Frontignan. Best from 2016 through 2030.’ - James Molesworth, Winespectator.com, 95/100 (2015)
‘The 2009 Vin de Constance Natural Sweet Wine had been in bottle around six weeks when I tasted it at the estate. It was harvested over three months from 25 separate batches, each bunch selected by hand and raised for six months to one year in 500-liter barrels. Matthew told me that he is looking for less time in barrel and more time in bottle before release. Then again, the 2003 is still in barrel! This is the first vintage Matthew Day has been involved with from start to finish and he sees it as a cross between the 2007 and 2008. It has an intense marmalade, dried apricot, beeswax and honeycomb scents, your quintessential Vin de Constance nose, and it seems to muster more vigor with aeration. The palate is well-balanced with a spicy tincture on the entry, slightly oxidative, with nutty notes infusing the thickly layered honeyed fruit with touches of papaya and mango toward the finish with touches of rosewater and gripe water (a children's medicine for anyone without the privilege) on the aftertaste. Another superb Vin de Constance from Matthew Day.’ - Neal Martin, Robertparker.com, 94/100 (2014)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2009 7299 - 733971.jpg,farms/klein-constansia/vdc/output/assets/39.jpg
40,2009,1,Vin de Constance 2009,500,3,,"‘Rich and unctuous, yet superbly racy, this offers a gorgeous panoply of dried apricot, fig, mango and quince flavors, underscored by a lively blood orange note and backed by a long, ginger- and green tea—filled finish. Youthfully tight, this should cruise for some time in the cellar. Muscat de Frontignan. Best from 2016 through 2030.’ - James Molesworth, Winespectator.com, 95/100 (2015)
‘The 2009 Vin de Constance Natural Sweet Wine had been in bottle around six weeks when I tasted it at the estate. It was harvested over three months from 25 separate batches, each bunch selected by hand and raised for six months to one year in 500-liter barrels. Matthew told me that he is looking for less time in barrel and more time in bottle before release. Then again, the 2003 is still in barrel! This is the first vintage Matthew Day has been involved with from start to finish and he sees it as a cross between the 2007 and 2008. It has an intense marmalade, dried apricot, beeswax and honeycomb scents, your quintessential Vin de Constance nose, and it seems to muster more vigor with aeration. The palate is well-balanced with a spicy tincture on the entry, slightly oxidative, with nutty notes infusing the thickly layered honeyed fruit with touches of papaya and mango toward the finish with touches of rosewater and gripe water (a children's medicine for anyone without the privilege) on the aftertaste. Another superb Vin de Constance from Matthew Day.’ - Neal Martin, Robertparker.com, 94/100 (2014)",0,,"‘Rich and unctuous, yet superbly racy, this offers a gorgeous panoply of dried apricot, fig, mango and quince flavors, underscored by a lively blood orange note and backed by a long, ginger- and green tea—filled finish. Youthfully tight, this should cruise for some time in the cellar. Muscat de Frontignan. Best from 2016 through 2030.’ - James Molesworth, Winespectator.com, 95/100 (2015)
‘The 2009 Vin de Constance Natural Sweet Wine had been in bottle around six weeks when I tasted it at the estate. It was harvested over three months from 25 separate batches, each bunch selected by hand and raised for six months to one year in 500-liter barrels. Matthew told me that he is looking for less time in barrel and more time in bottle before release. Then again, the 2003 is still in barrel! This is the first vintage Matthew Day has been involved with from start to finish and he sees it as a cross between the 2007 and 2008. It has an intense marmalade, dried apricot, beeswax and honeycomb scents, your quintessential Vin de Constance nose, and it seems to muster more vigor with aeration. The palate is well-balanced with a spicy tincture on the entry, slightly oxidative, with nutty notes infusing the thickly layered honeyed fruit with touches of papaya and mango toward the finish with touches of rosewater and gripe water (a children's medicine for anyone without the privilege) on the aftertaste. Another superb Vin de Constance from Matthew Day.’ - Neal Martin, Robertparker.com, 94/100 (2014)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2009 7299 - 733971.jpg,farms/klein-constansia/vdc/output/assets/40.jpg
41,2011,1,Vin de Constance 2011,500,3,,"‘Consistently one of the best sweet wines in the world, this tea-leafy, honeyed, orange peel-scented Muscat is rich and sweet, with 152 grams of sugar, some skin tannins, nutmeg and ginger spice and a weighty, dense texture. Long, complex and assured. Drink: 2015-25.’ – Tim Atkin MW, SA Special Report 2015, 96/100
‘The nose is pretty and entirely captivating – citrus, lilac, herbs, spice, even a little mint. The palate, meanwhile, shows pure fruit and zippy acidity – it’s an extraordinarily vivid glass of wine – the finish suitably long without being astringent. Really classy.’- Christian Eedes, Winemag.co.za, 96/100 (2015)
‘Iconic, ageworthy dessert from unbotrytised Muscat de Frontignan aged in French and Hungarian oak (some new). 2011 generous and satisfying with silky texture, sweetness lifted by racy acidity. 3 years oaked vs 4 for also-tasted 2009, with similar candied orange, fynbos fragrance, vanilla fudge and glazed pineapple flavours. No 2010. ’ - Platter’s SA Wine Guide 2016, 5* ",0,,"‘Consistently one of the best sweet wines in the world, this tea-leafy, honeyed, orange peel-scented Muscat is rich and sweet, with 152 grams of sugar, some skin tannins, nutmeg and ginger spice and a weighty, dense texture. Long, complex and assured. Drink: 2015-25.’ – Tim Atkin MW, SA Special Report 2015, 96/100
‘The nose is pretty and entirely captivating – citrus, lilac, herbs, spice, even a little mint. The palate, meanwhile, shows pure fruit and zippy acidity – it’s an extraordinarily vivid glass of wine – the finish suitably long without being astringent. Really classy.’- Christian Eedes, Winemag.co.za, 96/100 (2015)
‘Iconic, ageworthy dessert from unbotrytised Muscat de Frontignan aged in French and Hungarian oak (some new). 2011 generous and satisfying with silky texture, sweetness lifted by racy acidity. 3 years oaked vs 4 for also-tasted 2009, with similar candied orange, fynbos fragrance, vanilla fudge and glazed pineapple flavours. No 2010. ’ - Platter’s SA Wine Guide 2016, 5* ",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2011 7347 - 503680.jpg,farms/klein-constansia/vdc/output/assets/41.jpg
